type,x,y,z
point,0.890362,-0.379779,0.139047
point,0.023484,-0.107281,-0.19292
point,-0.748021,0.281943,-0.0759564
point,6.54285,-3.44,-0.969397
point,-0.931958,0.374742,-0.0480865
point,6.03799,-3.02535,-1.84744
point,0.0221403,-0.108485,-0.193102
point,-0.610966,0.212027,-0.0968864
point,6.58879,-3.47694,-0.977626
point,5.90192,-2.96907,-1.82605
point,6.88088,-3.45257,-2.05454
point,6.7601,-3.40479,-2.03886
point,7.34571,-4.09792,-1.15635
point,7.33421,-4.09404,-1.14169
point,7.41382,-4.14531,-1.1949
point,7.21868,-4.07664,-0.960515
point,7.76171,-4.14405,-2.39961
point,7.39928,-4.16455,-1.12967
point,7.26035,-4.11452,-0.967955
point,7.05907,-4.03855,-0.753162
point,-0.833171,0.314908,-0.050668
point,6.42795,-3.78616,-0.159331
point,6.41409,-3.78048,-0.147061
point,-0.551344,0.153146,-0.0403482
point,4.03284,-2.45096,-0.0248838
point,6.18267,-3.68522,0.0554306
point,6.09026,-3.64705,0.135557
point,6.07722,-3.64166,0.146854
point,0.714289,-0.58693,0.0824328
point,-0.626459,0.206289,-0.101814
point,6.45894,-3.81762,-0.161823
point,6.44493,-3.81184,-0.149488
point,6.21125,-3.71508,0.0540361
point,6.10482,-3.67086,0.145903
point,0.71988,-0.593514,0.0824504
point,6.47568,-4.15742,0.210665
point,6.51514,-4.19386,0.197671
point,6.50017,-4.18699,0.209733
point,3.20186,-2.17133,0.0990113
point,6.7501,-5.13929,0.185194
point,7.45799,-5.64661,0.212522
point,-0.973476,0.376263,-0.0458693
point,5.46644,-4.71959,-0.475941
point,8.40752,-7.3218,-2.29669
point,8.53913,-7.47644,-2.2167
point,-0.616427,0.0777599,-0.135408
point,9.02727,-8.2137,-1.56362
point,10.2483,-9.47157,-1.29195
point,4.66578,-4.62416,-0.517885
point,-0.813145,0.217395,-0.0403646
point,8.24134,-8.16938,0.170122
point,4.49925,-4.70507,0.0929001
point,-0.973694,0.367824,-0.0541493
point,-0.935059,0.324724,-0.0461291
point,10.3049,-10.0627,-2.95962
point,-0.931432,0.318169,-0.0404931
point,-0.956931,0.343728,-0.0500802
point,-0.674206,0.0673283,-0.102711
point,6.18258,-6.66297,-1.26131
point,6.17697,-6.67599,-1.26361
point,-0.25332,-0.350848,-0.229693
point,6.96092,-7.49038,-1.94582
point,9.35174,-10.3558,-0.759577
point,5.07223,-5.91759,-0.455386
point,3.44573,-4.23592,-0.344404
point,0.303845,-1.0252,-0.221017
point,0.841814,-1.60592,-0.29321
point,1.7232,-0.164194,-0.405928
point,-0.697092,0.261666,-0.0988595
point,-0.751446,0.283374,-0.0865737
point,0.0759857,-0.168413,-0.180629
point,1.68,-1.13737,0.162683
point,0.126564,-0.198508,-0.184145
point,0.362854,-0.331111,-0.190866
point,1.56189,-1.03009,-0.0786282
point,1.51611,-1.02583,0.0292872
point,0.112484,-0.192625,-0.184505
point,0.134112,-0.204729,-0.185539
point,0.371046,-0.338146,-0.192266
point,1.57257,-1.04094,-0.0795072
point,1.59055,-1.05185,-0.0755975
point,1.86645,-1.22121,-0.00501785
point,1.88293,-1.23145,-0.000125185
point,1.99569,-1.30189,0.0356165
point,2.01142,-1.31178,0.0409306
point,-0.617872,0.190631,-0.00689292
point,1.58325,-1.05184,-0.0803931
point,0.581982,-0.492504,-0.016276
point,1.89391,-1.24318,-0.000714235
point,0.678868,-0.551897,0.00699941
point,2.02244,-1.32382,0.0404847
point,0.157896,-0.242707,-0.0866423
point,1.30474,-0.891896,-0.136845
point,0.84122,-0.713353,0.024468
point,2.33076,-1.62336,0.0725174
point,2.327,-1.62655,0.066049
point,2.34205,-1.63679,0.0720896
point,-0.334647,-0.106068,-0.131169
point,2.62789,-2.47611,-0.284384
point,-0.757857,0.204838,-0.0985858
point,0.112477,-0.55315,-0.208462
point,2.5722,-2.73154,-0.446526
point,3.02602,-3.24642,-0.172056
point,3.73361,-3.89327,-0.197137
point,-0.881551,0.299833,-0.0767187
point,-0.875319,0.277644,-0.0458246
point,-0.345758,-0.241618,-0.0794322
point,-0.143274,-0.439885,-0.0923781
point,-0.381825,-0.188308,-0.181743
point,0.916435,-1.42275,-0.477038
point,1.80383,-2.32742,-0.576996
point,14.1041,-14.2893,-2.92311
point,-0.826588,0.222967,-0.0587805
point,0.652599,-1.2631,-0.256064
point,3.1561,-3.77954,-0.583953
point,-0.544712,-0.0489319,-0.156012
point,0.55779,-1.13205,-0.432834
point,-0.666903,0.0651495,-0.116808
point,-0.280148,-0.321094,-0.204906
point,3.50269,-4.27279,-0.35618
point,4.19855,-5.0014,-0.40679
point,11.9981,-13.1027,-0.952164
point,-0.819346,0.208423,-0.0478777
point,1.29,-1.96649,-0.4377
point,2.56259,-3.28526,-0.656998
point,-0.118252,-0.524573,-0.235686
point,-0.0985498,-0.54557,-0.238294
point,4.01696,-4.98555,-0.559608
point,4.02918,-5.01254,-0.562929
kf,-1.05273,0.436437,-0.0314394
