type,x,y,z
point,-0.246251,0.032189,0.103891
point,-0.209411,0.0298771,0.0876154
point,-1.76902,0.309131,1.29486
point,-2.09945,0.374677,1.58394
point,-1.78198,0.322152,1.34482
point,-1.76273,0.309335,1.29013
point,-1.76582,0.32063,1.33246
point,-0.967467,-0.0243637,-0.0966191
point,-1.04804,-0.0271102,-0.104359
point,-0.655927,0.0124802,-0.0111957
point,-1.09378,0.0355153,-0.0637845
point,-0.628171,0.0275108,-0.0388836
point,-2.26184,0.336563,0.898854
point,-1.72963,0.261606,0.687206
point,-1.84008,0.500353,1.46004
point,-0.974407,0.0802113,0.0572761
point,-1.15592,0.0580174,-0.0771299
point,-0.662676,0.0404055,-0.0464534
point,-0.665524,0.0413683,-0.0468979
point,-0.580528,0.105146,0.215811
point,-1.85291,0.248937,0.13984
point,-1.13929,0.159652,0.084397
point,-1.6491,0.224822,0.124612
point,-0.262209,0.0977039,0.201531
point,-0.227663,0.0887979,0.174112
point,-0.528808,0.175497,0.301534
point,-0.546069,0.180801,0.311992
point,-1.93389,0.645542,1.17451
point,-0.302564,0.112467,0.204382
point,-0.848173,0.101617,-0.13196
point,-0.329812,0.0648389,0.0113273
point,-0.231613,0.0996834,0.155206
point,-1.95296,0.711822,1.26453
point,-0.274574,0.0909383,0.115906
point,-0.280231,0.0925294,0.118632
point,-1.95797,0.68875,1.10624
point,-0.438584,0.0958492,0.0182175
point,-1.86432,0.344131,-0.0943285
point,-1.07432,0.205544,-0.0562658
point,-0.543473,0.191905,0.271166
point,-1.96706,0.706113,1.08423
point,-0.426916,0.114363,0.0740913
point,-2.02552,0.417361,-0.0330221
point,-2.02944,0.418965,-0.0302521
point,-2.07564,0.444991,-0.0168408
point,-1.21315,0.26723,-0.0115798
point,-0.293155,0.0734128,0.0108785
point,-0.278325,0.0756579,-0.00578174
point,-0.64957,0.154841,-0.00384456
point,-1.26975,0.291952,0.0191359
point,-2.11518,0.467404,-0.00189299
point,-2.11881,0.469049,0.00107874
point,-1.27257,0.294385,0.018684
point,-0.247212,0.0968087,0.0830614
point,-0.378796,0.106513,0.0596117
point,-1.92442,0.470113,0.0279586
point,-1.28818,0.325531,-0.0162981
point,-2.24887,0.566666,-0.0114083
point,-2.2975,0.594472,0.0297498
point,-2.30066,0.596237,0.0330575
point,-1.34822,0.356574,0.017761
